ID,filial,cidade,tipo_cliente,tipo,preço,quantidade,data,horário,pagamento,custo,rendimento,avaliação
101-17-6199,Assaí,Taguatinga,Normal,Alimentos e Bedidas,45.79,7.00,3/13/2019,19.44,Crédito,320.53,16.03,7.00
101-81-4070,Carrefour,Sobradinho,Membro,Saúde e Beleza,62.82,2.00,1/17/2019,12.36,Pix,125.64,6.28,4.90
102-06-2002,Carrefour,Sobradinho,Membro,Esportes,25.25,5.00,3/20/2019,17.52,Dinheiro,126.25,6.31,6.10
102-77-2261,Carrefour,Sobradinho,Membro,Saúde e Beleza,65.31,7.00,3/5/2019,18.02,Crédito,457.17,22.86,4.20
105-10-6182,Assaí,Taguatinga,Membro,Acessórios,21.48,2.00,2/27/2019,12.22,Pix,42.96,2.15,6.60
105-31-1824,Assaí,Taguatinga,Membro,Esportes,69.52,7.00,2/1/2019,15.1,Crédito,486.64,24.33,8.50
106-35-6779,Assaí,Taguatinga,Membro,Utensílios paraCasa,44.34,2.00,3/27/2019,11.26,Dinheiro,88.68,4.43,5.80
109-28-2512,Big Box,Ceilândia,Membro,Acessórios,97.61,6.00,1/7/2019,15.01,Pix,585.66,29.28,9.90
109-86-4363,Big Box,Ceilândia,Membro,Esportes,60.08,7.00,2/14/2019,11.36,Crédito,420.56,21.03,4.50
110-05-6330,Carrefour,Sobradinho,Normal,Alimentos e Bedidas,39.43,6.00,3/25/2019,20.18,Crédito,236.58,11.83,9.40
110-48-7033,Big Box,Ceilândia,Membro,Acessórios,32.62,4.00,1/29/2019,14.12,Dinheiro,130.48,6.52,9.00
114-35-5271,Big Box,Ceilândia,Normal,Tecnologia,57.91,8.00,2/7/2019,15.06,Dinheiro,463.28,23.16,8.10
115-38-7388,Carrefour,Sobradinho,Membro,Acessórios,10.18,8.00,3/30/2019,12.51,Crédito,81.44,04.07,9.50
115-99-4379,Big Box,Ceilândia,Membro,Acessórios,54.73,7.00,3/14/2019,19.02,Crédito,383.11,19.16,8.50
118-62-1812,Carrefour,Sobradinho,Membro,Utensílios paraCasa,78.38,4.00,3/24/2019,17.56,Dinheiro,313.52,15.68,7.90
120-06-4233,Carrefour,Sobradinho,Normal,Tecnologia,30.61,6.00,3/12/2019,20.36,Dinheiro,183.66,9.18,9.30
120-54-2248,Big Box,Ceilândia,Normal,Alimentos e Bedidas,28.86,5.00,1/22/2019,18.08,Crédito,144.30,7.22,8.00
122-61-9553,Carrefour,Sobradinho,Normal,Tecnologia,51.32,9.00,3/14/2019,19.33,Dinheiro,461.88,23.09,5.60
123-19-1176,Assaí,Taguatinga,Membro,Saúde e Beleza,58.22,8.00,1/27/2019,20.33,Pix,465.76,23.29,8.40
123-35-4896,Carrefour,Sobradinho,Normal,Esportes,46.66,9.00,2/17/2019,19.11,Pix,419.94,21.00,5.30
124-31-1458,Assaí,Taguatinga,Membro,Tecnologia,79.59,3.00,1/8/2019,14.3,Dinheiro,238.77,11.94,6.60
125-45-2293,Assaí,Taguatinga,Normal,Acessórios,99.10,6.00,1/19/2019,13.11,Dinheiro,594.60,29.73,4.20
126-54-1082,Assaí,Taguatinga,Membro,Utensílios paraCasa,21.54,9.00,1/7/2019,11.44,Crédito,193.86,9.69,8.80
127-47-6963,Assaí,Taguatinga,Normal,Saúde e Beleza,51.71,4.00,3/9/2019,13.53,Crédito,206.84,10.34,9.80
129-29-8530,Assaí,Taguatinga,Membro,Esportes,62.62,5.00,3/10/2019,19.15,Pix,313.10,15.66,7.00
130-67-4723,Assaí,Taguatinga,Membro,Alimentos e Bedidas,48.50,6.00,1/11/2019,13.57,Pix,291.00,14.55,9.40
130-98-8941,Carrefour,Sobradinho,Normal,Acessórios,64.26,7.00,2/9/2019,10,Dinheiro,449.82,22.49,5.70
131-15-8856,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,72.52,8.00,3/30/2019,19.26,Crédito,580.16,29.01,4.00
131-70-8179,Assaí,Taguatinga,Membro,Saúde e Beleza,92.09,3.00,2/17/2019,16.27,Dinheiro,276.27,13.81,4.20
132-23-6451,Assaí,Taguatinga,Membro,Saúde e Beleza,20.97,5.00,1/4/2019,13.21,Dinheiro,104.85,5.24,7.80
132-32-9879,Big Box,Ceilândia,Membro,Tecnologia,93.96,4.00,3/9/2019,18,Dinheiro,375.84,18.79,9.50
133-14-7229,Carrefour,Sobradinho,Normal,Saúde e Beleza,62.87,2.00,1/1/2019,11.43,Dinheiro,125.74,6.29,5.00
133-77-3154,Big Box,Ceilândia,Membro,Acessórios,60.18,4.00,2/16/2019,18.04,Crédito,240.72,12.04,9.40
134-54-4720,Big Box,Ceilândia,Normal,Tecnologia,42.42,8.00,1/30/2019,13.58,Pix,339.36,16.97,5.70
134-75-2619,Assaí,Taguatinga,Membro,Tecnologia,19.32,7.00,3/25/2019,18.51,Dinheiro,135.24,6.76,6.90
135-13-8269,Big Box,Ceilândia,Membro,Alimentos e Bedidas,78.88,2.00,1/26/2019,16.04,Dinheiro,157.76,7.89,9.10
135-84-8019,Assaí,Taguatinga,Normal,Acessórios,77.93,9.00,2/27/2019,16.1,Pix,701.37,35.07,7.60
136-08-6195,Assaí,Taguatinga,Normal,Utensílios paraCasa,69.96,8.00,2/15/2019,17.01,Crédito,559.68,27.98,6.40
137-63-5492,Carrefour,Sobradinho,Normal,Tecnologia,58.76,10.00,1/29/2019,14.26,Pix,587.60,29.38,9.00
137-74-8729,Carrefour,Sobradinho,Normal,Acessórios,12.19,8.00,3/13/2019,12.47,Pix,97.52,4.88,6.80
138-17-5109,Assaí,Taguatinga,Membro,Utensílios paraCasa,89.21,9.00,1/15/2019,15.42,Crédito,802.89,40.14,6.50
139-20-0155,Big Box,Ceilândia,Membro,Tecnologia,40.30,10.00,1/24/2019,17.37,Crédito,403.00,20.15,7.00
139-32-4183,Assaí,Taguatinga,Membro,Esportes,97.48,9.00,3/14/2019,14.19,Pix,877.32,43.87,7.40
139-52-2867,Carrefour,Sobradinho,Normal,Acessórios,22.51,7.00,2/13/2019,10.5,Crédito,157.57,7.88,4.80
142-63-6033,Big Box,Ceilândia,Normal,Utensílios paraCasa,92.36,5.00,3/20/2019,19.17,Pix,461.80,23.09,4.90
142-72-4741,Carrefour,Sobradinho,Membro,Acessórios,93.20,2.00,2/28/2019,18.37,Crédito,186.40,9.32,6.00
144-51-6085,Assaí,Taguatinga,Membro,Utensílios paraCasa,70.74,4.00,1/5/2019,16.05,Crédito,282.96,14.15,4.40
145-94-9061,Big Box,Ceilândia,Normal,Alimentos e Bedidas,88.36,5.00,1/25/2019,19.48,Dinheiro,441.80,22.09,9.60
146-09-5432,Assaí,Taguatinga,Membro,Alimentos e Bedidas,35.04,9.00,2/9/2019,19.17,Pix,315.36,15.77,4.60
148-41-7930,Carrefour,Sobradinho,Normal,Saúde e Beleza,99.96,7.00,1/23/2019,10.33,Dinheiro,699.72,34.99,6.10
148-82-2527,Carrefour,Sobradinho,Membro,Utensílios paraCasa,12.12,10.00,3/5/2019,13.44,Crédito,121.20,06.06,8.40
149-14-0304,Carrefour,Sobradinho,Membro,Saúde e Beleza,28.50,8.00,2/6/2019,14.24,Dinheiro,228.00,11.40,6.60
149-15-7606,Big Box,Ceilândia,Membro,Esportes,37.32,9.00,3/6/2019,15.31,Pix,335.88,16.79,5.10
149-61-1929,Assaí,Taguatinga,Normal,Esportes,64.19,10.00,1/19/2019,14.08,Crédito,641.90,32.10,6.70
149-71-6266,Big Box,Ceilândia,Membro,Esportes,78.07,9.00,1/28/2019,12.43,Dinheiro,702.63,35.13,4.50
150-89-8043,Assaí,Taguatinga,Normal,Esportes,44.65,3.00,2/14/2019,15.04,Dinheiro,133.95,6.70,6.20
151-16-1484,Assaí,Taguatinga,Membro,Tecnologia,32.25,4.00,2/13/2019,12.38,Pix,129.00,6.45,6.50
151-27-8496,Carrefour,Sobradinho,Normal,Tecnologia,56.13,4.00,1/19/2019,11.43,Pix,224.52,11.23,8.60
151-33-7434,Big Box,Ceilândia,Normal,Alimentos e Bedidas,67.77,1.00,2/4/2019,20.43,Crédito,67.77,3.39,6.50
152-03-4217,Big Box,Ceilândia,Normal,Utensílios paraCasa,11.28,9.00,3/17/2019,11.55,Crédito,101.52,05.08,4.30
152-08-9985,Big Box,Ceilândia,Membro,Saúde e Beleza,64.36,9.00,3/12/2019,12.09,Crédito,579.24,28.96,8.60
152-68-2907,Assaí,Taguatinga,Normal,Alimentos e Bedidas,52.20,3.00,2/15/2019,13.3,Crédito,156.60,7.83,9.50
153-58-4872,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,74.89,4.00,3/1/2019,15.32,Pix,299.56,14.98,4.20
154-74-7179,Big Box,Ceilândia,Normal,Esportes,54.45,1.00,2/26/2019,19.24,Pix,54.45,2.72,7.90
154-87-7367,Carrefour,Sobradinho,Normal,Utensílios paraCasa,65.26,8.00,3/15/2019,14.04,Pix,522.08,26.10,6.30
155-45-3814,Carrefour,Sobradinho,Membro,Tecnologia,88.55,8.00,3/19/2019,15.29,Pix,708.40,35.42,4.70
156-20-0370,Big Box,Ceilândia,Normal,Tecnologia,25.45,1.00,3/10/2019,18.1,Crédito,25.45,1.27,5.10
156-95-3964,Assaí,Taguatinga,Normal,Alimentos e Bedidas,55.39,4.00,3/25/2019,15.19,Pix,221.56,11.08,8.00
157-13-5295,Assaí,Taguatinga,Membro,Saúde e Beleza,51.94,10.00,3/9/2019,18.24,Pix,519.40,25.97,6.50
160-22-2687,Assaí,Taguatinga,Membro,Saúde e Beleza,95.95,5.00,1/23/2019,14.21,Pix,479.75,23.99,8.80
162-48-8011,Assaí,Taguatinga,Membro,Alimentos e Bedidas,44.59,5.00,2/10/2019,15.1,Dinheiro,222.95,11.15,8.50
162-65-8559,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,68.98,1.00,1/21/2019,20.13,Dinheiro,68.98,3.45,4.80
163-56-7055,Carrefour,Sobradinho,Membro,Acessórios,48.71,1.00,3/26/2019,19.2,Dinheiro,48.71,2.44,4.10
166-19-2553,Assaí,Taguatinga,Membro,Esportes,89.06,6.00,1/18/2019,17.26,Dinheiro,534.36,26.72,9.90
169-52-4504,Assaí,Taguatinga,Normal,Tecnologia,15.69,3.00,3/14/2019,14.13,Crédito,47.07,2.35,5.80
